               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10566,             0.11334,            0.020187,            0.082098,            0.092908,            0.021833,           0.0055465,             0.10171,             0.15347,            0.013641,             0.07014,           0.0033178,           0.0033178
                   1,            0.086474,             0.09445,            0.012147,             0.38791,             0.31005,             0.24581,            0.077114,            0.073057,             0.08451,           0.0094597,            0.040096,           0.0066072,           0.0066072
                   2,            0.076204,            0.087329,            0.007276,             0.46559,             0.41935,             0.37613,             0.13121,            0.068489,            0.080169,           0.0063653,            0.010008,           0.0098526,           0.0098526
                   3,            0.067358,            0.081744,           0.0047934,             0.72525,             0.57912,             0.62957,             0.28222,            0.054737,            0.079045,            0.003435,            0.009802,            0.009802,            0.009802
                   4,            0.060705,            0.079064,           0.0036301,             0.81307,             0.69277,             0.76451,             0.37447,            0.051135,            0.075306,            0.003272,            0.009802,            0.009802,            0.009802
                   5,            0.055945,            0.074424,           0.0029563,             0.85556,              0.7235,             0.80285,             0.39971,             0.04815,             0.06763,           0.0023928,            0.009736,            0.009736,            0.009736
                   6,            0.053459,            0.073222,           0.0024162,             0.86098,             0.76886,             0.84301,             0.45063,            0.045055,            0.067082,           0.0020871,             0.00967,             0.00967,             0.00967
                   7,            0.051651,             0.07168,            0.002439,             0.86423,             0.78495,             0.85458,             0.46755,             0.04387,            0.065771,           0.0020641,            0.009604,            0.009604,            0.009604
                   8,              0.0501,            0.069807,             0.00214,             0.85625,             0.79253,             0.85734,             0.46716,            0.043269,              0.0655,           0.0026997,            0.009538,            0.009538,            0.009538
                   9,            0.048893,            0.069163,           0.0019545,             0.87995,             0.79306,             0.86936,             0.48576,            0.043132,             0.06444,           0.0018078,            0.009472,            0.009472,            0.009472
                  10,            0.048118,            0.068391,           0.0018673,             0.89895,             0.81339,             0.88326,             0.50349,            0.042013,            0.063118,           0.0016095,            0.009406,            0.009406,            0.009406
                  11,            0.047466,            0.068044,           0.0019073,             0.88105,             0.81838,             0.87942,              0.5006,            0.041576,             0.06372,           0.0017791,             0.00934,             0.00934,             0.00934
